Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,9690.0,1894.0,6940.0,0.0,0.0,2291.0,140.0,0.3521184697655286
2005,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,9832.0,1908.0,7233.0,0.0,0.0,2934.0,287.0,0.21452964917727413
2006,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,11648.0,2126.0,8765.0,0.0,185.0,4875.0,294.0,0.1106597020700329
2007,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,13610.0,2209.0,10459.0,0.0,289.0,4770.0,193.0,0.13157364497279872
2008,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12851.0,1470.0,10584.0,0.0,360.0,3617.0,124.0,0.11681368618016573
2009,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12745.0,1334.0,10471.0,0.0,280.0,4837.0,437.0,0.12514220705346984
2010,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,13768.0,1193.0,11276.0,0.0,134.0,6677.0,329.0,0.16628604053668283
2011,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14378.0,1159.0,11087.0,0.0,0.0,6324.0,156.0,0.32901234567901233
2012,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14763.0,1057.0,11743.0,0.0,0.0,5864.0,245.0,0.3213291864462269
2013,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14870.0,850.0,12306.0,0.0,163.0,7325.0,261.0,0.2044555760611653
2014,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14975.0,696.0,12412.0,0.0,144.0,6560.0,230.0,0.25375552282768776
2015,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15117.0,575.0,12621.0,0.0,138.0,10776.0,314.0,0.16077547339945897
2016,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15854.0,500.0,13302.0,0.0,88.0,10235.0,305.0,0.18633776091081594
2017,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,16943.0,432.0,13966.0,0.0,104.0,14793.0,261.0,0.16214959479208185
2018,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,18059.0,409.0,14401.0,0.0,116.0,14412.0,262.0,0.2135068829221753
2019,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,19075.0,416.0,14845.0,0.0,317.0,10498.0,6383.0,0.2071559741721462
2020,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,12908.0,454.0,10372.0,0.0,263.0,10178.0,5675.0,0.11474168927016969
2021,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,14623.0,531.0,11420.0,0.0,347.0,50332.0,201.0,0.046009538321492884
2022,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,15272.0,549.0,12374.0,0.0,515.0,28505.0,161.0,0.06397823205190818
2023,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,7617.0,493.0,5732.0,42.0,880.0,42284.0,142.0,0.013058030453024089
2024,VEND.OL,Vend Marketplaces ASA,Media & Publishing,Communication Services,8325.0,599.0,6230.0,132.0,620.0,32485.0,19.0,0.031011567807039134
