Year,Ticker,CompanyName,Industry,Sector,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF,COGS_DA,XSGA_DA,MarketCap
2003,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,70.06,27.62,65.85,0.0,2.75,11.81,0.0,-2.215071972904318,0.0,22.67,
2004,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,108.32,35.49,75.41,0.0,2.11,91.97,0.0,-0.0509948896379255,0.0,17.59,
2005,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,141.47,85.33,36.31,0.0,0.77,292.17,0.0,0.0652359927439504,0.0,8.55,
2006,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,296.55,145.87,62.43,0.0,4.47,1176.45,0.0,0.0712142462493093,0.0,25.04,2016.35
2007,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,573.77,315.78,220.77,0.0,62.23,976.19,0.0,-0.025620012497567,0.0,109.99,1028.64
2008,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,1218.39,664.31,369.65,0.0,94.74,1508.04,0.0,0.0594745497466911,0.0,202.96,153.53
2009,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,1015.19,791.05,423.18,0.0,87.19,1178.17,0.0,-0.2429445665735843,0.0,263.8,458.43
2010,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,565.66,431.31,334.03,0.0,64.04,773.93,0.0,-0.3407543317871125,0.0,219.26,342.99
2011,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,457.85,379.01,296.87,0.0,103.51,294.66,0.0,-1.0912237833435143,0.0,159.74,27.2
2012,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,949.74,603.06,298.02,0.0,72.05,293.73,0.0,-0.0796309535968403,0.0,200.08,185.12
2013,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,1041.94,751.31,272.99,0.0,70.77,349.82,0.0,-0.1518781087416382,0.0,159.17,94.83
2014,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,815.13,680.94,405.72,0.0,107.06,-305.76,0.0,1.2381933542647832,0.0,212.51,37.05
2015,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,758.94,562.44,304.42,0.0,39.19,264.98,0.0,-0.5551739753943692,0.0,154.47,31.77
2016,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,605.15,351.91,242.92,0.0,45.92,190.61,0.0,-0.1867687949215679,0.0,131.18,36.34
2017,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,158.8,214.77,200.62,0.0,30.96,128.57,0.0,-2.2365248502761146,0.0,101.41,20.38
2018,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,161.83,153.85,115.27,0.0,15.94,324.03,0.0,-0.3803042928123939,0.0,59.46,255.16
2019,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,397.11,378.78,163.98000000000002,0.0,8.1,413.27,0.0,-0.3720328114791782,0.0,99.25,206.27
2020,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,437.95,400.32,129.33,0.0,7.18,302.14,6.54,-0.320331735130232,0.0,76.85000000000001,204.45
2021,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,177.95,180.6,97.43,0.0,5.63,241.44,8.19,-0.4234667307615271,0.0,49.62,108.31
2022,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,193.72,182.89,105.57,0.0,17.81,281.55,10.53,-0.3853396329772665,0.0,68.21000000000001,278.57
2023,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,365.45,201.13,108.65,0.0,27.31,271.65,0.0,0.1043990428860665,0.0,66.77,383.07
2024,ENH.OL,Sed Energy Holdings PLC,Oil & Gas Related Equipment and Services,Energy,380.91,182.17,113.54,0.0,21.67,3213.33,0.0,0.0197707673970616,0.0,67.74,457.11
